Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,15,4/3/2016,4/9/2016,94253,1961
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,52,12/18/2016,12/24/2016,20869,453
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,35,8/21/2016,8/27/2016,13699,322
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,26,6/19/2016,6/25/2016,1279,29
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,4,1/17/2016,1/23/2016,71292,1777
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,30,7/17/2016,7/23/2016,1923,47
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,34,8/14/2016,8/20/2016,304098,8079
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,2,1/3/2016,1/9/2016,57892,1680
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,51,12/11/2016,12/17/2016,35479,563
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,42,10/9/2016,10/15/2016,52277,1373
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,15,4/3/2016,4/9/2016,330925,7581
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,45,10/30/2016,11/5/2016,2575,61
