Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,41,10/2/2016,10/8/2016,4877,100
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,34,8/14/2016,8/20/2016,7147,138
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,18,4/24/2016,4/30/2016,2969,57
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,2,1/3/2016,1/9/2016,356,12
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,52,12/18/2016,12/24/2016,102868,2436
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,9,2/21/2016,2/27/2016,133374,2645
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,26,6/19/2016,6/25/2016,61318,1430
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,18,4/24/2016,4/30/2016,6438,168
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,44,10/23/2016,10/29/2016,23060,480
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,8,2/14/2016,2/20/2016,17747,341
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,48,11/20/2016,11/26/2016,125317,3059
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,46,11/6/2016,11/12/2016,41552,796
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,40,9/25/2016,10/1/2016,26570,612
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,39,9/18/2016,9/24/2016,11340,261
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,31,7/24/2016,7/30/2016,6098,115
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,28,7/3/2016,7/9/2016,1444,47
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,12,3/13/2016,3/19/2016,5966,122
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,21,5/15/2016,5/21/2016,18454,460
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,11,3/6/2016,3/12/2016,296816,7528
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,48,11/20/2016,11/26/2016,10301,288
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,44,10/23/2016,10/29/2016,121015,2425
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,11,3/6/2016,3/12/2016,123847,2562
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,49,11/27/2016,12/3/2016,77789,1693
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,9,2/21/2016,2/27/2016,9692,224
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,8,2/14/2016,2/20/2016,5032,120
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,44,10/23/2016,10/29/2016,26079,454
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,47,11/13/2016,11/19/2016,163614,3466
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,6,1/31/2016,2/6/2016,23822,558
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,24,6/5/2016,6/11/2016,14684,318
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,46,11/6/2016,11/12/2016,114677,2569
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,6,1/31/2016,2/6/2016,1227,29
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,37,9/4/2016,9/10/2016,18189,422
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,11,3/6/2016,3/12/2016,9061,221
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,5,1/24/2016,1/30/2016,680,20
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,41,10/2/2016,10/8/2016,4467,111
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,50,12/4/2016,12/10/2016,129805,2550
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,50,12/4/2016,12/10/2016,18316,361
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,7,2/7/2016,2/13/2016,330514,7726
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,26,6/19/2016,6/25/2016,49277,1120
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,44,10/23/2016,10/29/2016,7728,166
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,15,4/3/2016,4/9/2016,1160,23
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,1,1/1/2016,1/2/2016,1004,95
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,39,9/18/2016,9/24/2016,15729,354
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,31,7/24/2016,7/30/2016,257790,5176
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,41,10/2/2016,10/8/2016,2336,46
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,17,4/17/2016,4/23/2016,1350,31
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,20,5/8/2016,5/14/2016,1237,28
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,27,6/26/2016,7/2/2016,57193,1439
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,2,1/3/2016,1/9/2016,13865,732
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,23,5/29/2016,6/4/2016,47165,1127
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,5,1/24/2016,1/30/2016,44402,1037
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,45,10/30/2016,11/5/2016,32596,683
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,10,2/28/2016,3/5/2016,1989,40
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,19,5/1/2016,5/7/2016,16652,678
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,11,3/6/2016,3/12/2016,1188,22
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,18,4/24/2016,4/30/2016,11207,274
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,49,11/27/2016,12/3/2016,17838,358
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,48,11/20/2016,11/26/2016,147409,3395
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,1,1/1/2016,1/2/2016,339,23
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,34,8/14/2016,8/20/2016,3278,70
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,43,10/16/2016,10/22/2016,241539,5337
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,16,4/10/2016,4/16/2016,909,19
